A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,A,B,Attack
2,2,46,46,23,23,23,0,23,23,23,0,444444.4444,19323.6715,69,34.64101615,109,49,49,49,0,49,49,49,49,0,49,49,0,0,0,0,64,64,9661.835749,9661.835749,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,578616.3522,25157.2327,53,90.06664199,157,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12578.61635,12578.61635,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,460000,20000,66.66666667,32.33161507,104,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,10000,10000,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,571428.5714,24844.7205,53.66666667,91.22134253,159,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12422.36025,12422.36025,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,464646.4646,20202.0202,66,30.31501278,101,48,49,49,0,49,49,48,48,0,48,48,0,0,0,0,64,64,10101.0101,10101.0101,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,15706.80628,95.5,67.17514421,143,48,0,0,0,0,0,48,48,0,48,48,0,0,0,0,32,64,5235.602094,10471.20419,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,269,65535,0,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,736000,32000,41.66666667,65.24058042,117,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,16000,16000,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,736000,32000,41.66666667,65.24058042,117,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,16000,16000,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,585987.2611,25477.70701,52.33333333,88.91194146,155,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12738.8535,12738.8535,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,601307.1895,26143.79085,51,86.60254038,151,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,13071.89542,13071.89542,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,420091.3242,18264.84018,73,124.7076581,217,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,9132.420091,9132.420091,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,46,46,23,23,23,0,23,23,23,0,597402.5974,25974.02597,51.33333333,87.17989065,152,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12987.01299,12987.01299,23,23,23,0,0,0,0,0,0,0,0,0,0,1,28.75,23,23,64,0,0,0,0,0,0,2,46,2,46,-1,-1,1,32,0,0,0,0,0,0,0,0,1
11,6,1726,1276,403,0,156.9090909,196.2928702,316,6,212.6666667,160.0833116,222.6374694,1.260771812,842737.75,2687059.942,10500000,2,13500000,1348380.4,3358014.967,10500000,2,13500000,2696708.8,4563745.728,10500000,4,1,0,0,0,352,168,0.815793525,0.444978287,0,403,189.1666667,183.7399857,33760.38235,0,1,0,0,1,0,0,0,0,200.2941176,156.9090909,212.6666667,352,0,0,0,0,0,0,11,1726,6,1276,1444,0,5,32,2949343,0,2949343,2949343,10500000,0,10500000,10500000,1
1,1,48,48,48,48,48,0,48,48,48,0,5842.970177,121.7285453,16430,0,16430,16430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,60.86427267,60.86427267,48,48,48,0,0,0,0,0,0,0,0,0,0,1,72,48,48,32,0,0,0,0,0,0,1,48,1,48,-1,-1,0,32,0,0,0,0,0,0,0,0,1
41,44,2664,6954,456,0,64.97560976,109.864573,976,0,158.0454545,312.6752498,7713.14603,68.16566984,14844.78571,104245.0063,952316,0,1246962,31174.05,158737.3628,996311,0,294511,6849.093023,17049.80722,84585,0,0,0,0,0,1328,1424,32.87991134,35.28575851,0,976,111.8372093,239.6868477,57449.78495,0,0,0,1,0,0,0,0,1,113.1529412,64.97560976,158.0454545,1328,0,0,0,0,0,0,41,2664,44,6954,29200,243,24,32,0,0,0,0,0,0,0,0,1
10,4,165,326,79,0,16.5,33.01262385,163,0,81.5,94.10809388,1252551.02,35714.28571,30.15384615,22.63421508,53,1,392,43.55555556,36.66098441,101,1,277,92.33333333,117.9251175,226,3,0,0,0,0,336,144,25510.20408,10204.08163,0,163,32.73333333,59.52006464,3542.638095,0,0,0,1,0,0,0,0,0,35.07142857,16.5,81.5,336,0,0,0,0,0,0,10,165,4,326,29200,2081,3,32,0,0,0,0,0,0,0,0,1
10,4,165,326,79,0,16.5,33.01262385,163,0,81.5,94.10809388,1200488.998,34229.82885,31.46153846,32.39757034,99,1,409,45.44444444,55.45744114,163,1,262,87.33333333,110.5998794,212,1,0,0,0,0,336,144,24449.87775,9779.9511,0,163,32.73333333,59.52006464,3542.638095,0,0,0,1,0,0,0,0,0,35.07142857,16.5,81.5,336,0,0,0,0,0,0,10,165,4,326,29200,2081,3,32,0,0,0,0,0,0,0,0,1
2,0,7,0,7,0,3.5,4.949747468,0,0,0,0,7000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,7,4.666666667,4.041451884,16.33333333,0,1,0,0,1,0,0,0,0,7,3.5,0,64,0,0,0,0,0,0,2,7,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,1
2,0,7,0,7,0,3.5,4.949747468,0,0,0,0,7000000,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,0,2000000,0,0,7,4.666666667,4.041451884,16.33333333,0,1,0,0,1,0,0,0,0,7,3.5,0,64,0,0,0,0,0,0,2,7,0,0,237,-1,0,32,0,0,0,0,0,0,0,0,1
9,6,3110,3108,1555,0,345.5555556,685.6905481,1554,0,518,802.4821493,5616982.836,13550.1355,79.07142857,223.3977013,852,1,1107,138.375,311.9596757,906,1,1011,202.2,368.7867948,852,1,0,0,0,0,304,208,8130.081301,5420.054201,0,1555,388.625,695.1935822,483294.1167,0,0,0,1,0,0,0,0,0,414.5333333,345.5555556,518,304,0,0,0,0,0,0,9,3110,6,3108,29200,2081,2,32,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,0,0,0,0,0,15384.61538,130,0,130,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,7692.307692,7692.307692,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,32,0,0,0,0,0,0,1,0,1,0,290,243,0,32,0,0,0,0,0,0,0,0,1
37,40,2728,6634,456,0,73.72972973,113.7152019,976,0,165.85,325.1423791,7159.260276,58.88304222,17206.27632,115491.0219,999748,0,1307677,36324.36111,169134.7389,999798,1,307832,7893.128205,23820.37773,137590,1,0,0,0,0,1200,1296,28.29444886,30.58859336,0,976,120.025641,248.7947558,61898.8305,0,0,0,1,0,0,0,0,1,121.5844156,73.72972973,165.85,1200,0,0,0,0,0,0,37,2728,40,6634,29200,243,24,32,0,0,0,0,0,0,0,0,1
13,0,1053,0,81,81,81,0,0,0,0,0,70200000,866666.6667,1.25,0.621581561,3,1,15,1.25,0.621581561,3,1,0,0,0,0,0,0,0,0,0,416,0,866666.6667,0,81,81,81,0,0,0,0,0,0,0,0,0,0,0,87.23076923,81,0,416,0,0,0,0,0,0,13,1053,0,0,-1,-1,12,32,0,0,0,0,0,0,0,0,1
30,21,5634,12640,1293,0,187.8,331.6294567,3069,0,601.9047619,775.2613691,61792.64264,172.4540207,5914.62,27117.18172,175052,1,295731,10197.62069,35251.6014,175052,1,295713,14785.65,42075.41073,175576,2,0,0,0,0,976,688,101.4435416,71.01047912,0,3069,351.4230769,585.0122287,342239.3077,0,0,0,1,0,0,0,0,0,358.3137255,187.8,601.9047619,976,0,0,0,0,0,0,30,5634,21,12640,29200,2078,16,32,0,0,0,0,0,0,0,0,1
44,33,7484,12670,1293,0,170.0909091,268.9823906,3069,0,383.9393939,593.0403095,54369.31967,207.7224181,4877.460526,21954.26324,175266,1,370687,8620.627907,28791.58558,175266,1,330487,10327.71875,34397.66889,175811,3,0,0,0,0,1424,1072,118.6985246,89.02389347,0,3069,258.3846154,445.6922598,198641.5904,0,0,0,1,0,0,0,0,0,261.7402597,170.0909091,383.9393939,1424,0,0,0,0,0,0,44,7484,33,12670,29200,2080,30,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1500000,21739.13043,61.33333333,104.5003987,182,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,10869.56522,10869.56522,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,0,0,0,0,0,0,0,0,0,0,0,0,666666.6667,3,0,3,3,3,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,666666.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1780645.161,25806.45161,51.66666667,84.2931393,149,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,12903.22581,12903.22581,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,142,242,71,71,71,0,121,121,121,0,1802816.901,18779.34272,71,116.0474041,205,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,64,9389.671362,9389.671362,71,121,91,27.38612788,750,0,0,0,0,0,0,0,0,1,113.75,71,121,64,0,0,0,0,0,0,2,142,2,242,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,80,180,40,40,40,0,90,90,90,0,1192660.55,18348.62385,72.66666667,119.8012243,211,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,9174.311927,9174.311927,40,90,60,27.38612788,750,0,0,0,0,0,0,0,0,1,75,40,90,64,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,102,224,51,51,51,0,112,112,112,0,1762162.162,21621.62162,61.66666667,105.077749,183,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,10810.81081,10810.81081,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,496,2820,248,248,248,0,1410,1410,1410,0,4245838.668,5121.638924,260.3333333,409.1507465,732,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,64,64,2560.819462,2560.819462,248,1410,712.8,636.4536118,405073.2,0,0,0,0,0,0,0,0,1,891,248,1410,64,0,0,0,0,0,0,2,496,2,2820,-1,-1,1,32,0,0,0,0,0,0,0,0,1
1,4,0,12,0,0,0,0,6,0,3,3.464101615,129032.2581,53763.44086,23.25,33.06937153,71,1,0,0,0,0,0,73,24.33333333,40.41451884,71,1,0,0,0,0,32,104,10752.68817,43010.75269,0,6,2,3.098386677,9.6,0,0,0,0,1,1,0,0,4,2.4,0,3,32,0,0,0,0,0,0,1,0,4,12,253,0,0,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1533333.333,22222.22222,60,63.22183167,128,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,64,11111.11111,11111.11111,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1769230.769,25641.02564,52,88.33459119,154,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12820.51282,12820.51282,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,96,32,32,32,0,48,48,48,0,711111.1111,17777.77778,75,128.1717598,223,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,8888.888889,8888.888889,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,348,358,174,174,174,0,179,179,179,0,1622988.506,9195.402299,145,208.1994236,384,3,3,3,0,3,3,48,48,0,48,48,0,0,0,0,64,64,4597.701149,4597.701149,174,179,176,2.738612788,7.5,0,0,0,0,0,0,0,0,1,220,174,179,64,0,0,0,0,0,0,2,348,2,358,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,80,180,40,40,40,0,90,90,90,0,1097046.414,16877.63713,79,97.27795228,188,1,1,1,0,1,1,48,48,0,48,48,0,0,0,0,40,40,8438.818565,8438.818565,40,90,60,27.38612788,750,0,0,0,0,0,0,0,0,1,75,40,90,40,0,0,0,0,0,0,2,80,2,180,-1,-1,1,20,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1065637.066,15444.01544,86.33333333,146.9364942,256,1,1,1,0,1,1,2,2,0,2,2,0,0,0,0,64,64,7722.007722,7722.007722,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,76,176,38,38,38,0,88,88,88,0,1266331.658,20100.50251,66.33333333,109.6965511,193,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,10050.25126,10050.25126,38,88,58,27.38612788,750,0,0,0,0,0,0,0,0,1,72.5,38,88,64,0,0,0,0,0,0,2,76,2,176,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,348,358,174,174,174,0,179,179,179,0,1701204.819,9638.554217,138.3333333,198.560654,366,1,48,48,0,48,48,1,1,0,1,1,0,0,0,0,64,64,4819.277108,4819.277108,174,179,176,2.738612788,7.5,0,0,0,0,0,0,0,0,1,220,174,179,64,0,0,0,0,0,0,2,348,2,358,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,102,224,51,51,51,0,112,112,112,0,973134.3284,11940.29851,111.6666667,95.63123618,183,3,3,3,0,3,3,183,183,0,183,183,0,0,0,0,64,64,5970.149254,5970.149254,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,96,32,32,32,0,48,48,48,0,987654.321,24691.35802,54,87.46999486,155,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,12345.67901,12345.67901,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1672727.273,24242.42424,55,90.06664199,159,3,3,3,0,3,3,3,3,0,3,3,0,0,0,0,64,64,12121.21212,12121.21212,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,2944,578,1472,1472,1472,0,289,289,289,0,3593877.551,4081.632653,326.6666667,558.0092592,971,4,5,5,0,5,5,4,4,0,4,4,0,0,0,0,64,64,2040.816327,2040.816327,289,1472,998.8,647.9557855,419846.7,0,0,0,0,0,0,0,0,1,1248.5,1472,289,64,0,0,0,0,0,0,2,2944,2,578,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,102,224,51,51,51,0,112,112,112,0,1743315.508,21390.37433,62.33333333,101.0362971,179,4,4,4,0,4,4,4,4,0,4,4,0,0,0,0,64,40,10695.18717,10695.18717,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1693251.534,24539.8773,54.33333333,92.37604307,161,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,12269.93865,12269.93865,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,80,180,40,40,40,0,90,90,90,0,1520467.836,23391.81287,57,92.66606714,164,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,11695.90643,11695.90643,40,90,60,27.38612788,750,0,0,0,0,0,0,0,0,1,75,40,90,64,0,0,0,0,0,0,2,80,2,180,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,102,224,51,51,51,0,112,112,112,0,1405172.414,17241.37931,77.33333333,50.80682369,136,48,48,48,0,48,48,48,48,0,48,48,0,0,0,0,64,64,8620.689655,8620.689655,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,158,32,32,32,0,79,79,79,0,1233333.333,22222.22222,60,102.1909976,178,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,11111.11111,11111.11111,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,1
1,2,0,0,0,0,0,0,0,0,0,0,0,60000,25,33.9411255,49,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,32,64,20000,40000,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,32,0,0,0,0,0,0,1,0,2,0,243,290,0,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1595375.723,23121.38728,57.66666667,60.70694634,123,3,3,3,0,3,3,47,47,0,47,47,0,0,0,0,64,64,11560.69364,11560.69364,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,102,224,51,51,51,0,112,112,112,0,978978.979,12012.01201,111,190.5255888,331,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,6006.006006,6006.006006,51,112,75.4,33.41107601,1116.3,0,0,0,0,0,0,0,0,1,94.25,51,112,64,0,0,0,0,0,0,2,102,2,224,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,96,32,32,32,0,48,48,48,0,919540.2299,22988.50575,58,60.00833275,122,3,3,3,0,3,3,49,49,0,49,49,0,0,0,0,64,64,11494.25287,11494.25287,32,48,38.4,8.76356092,76.8,0,0,0,0,0,0,0,0,1,48,32,48,64,0,0,0,0,0,0,2,64,2,96,-1,-1,1,32,0,0,0,0,0,0,0,0,1
4,0,12,0,6,0,3,3.464101615,0,0,0,0,240000,80000,16.66666667,27.13546265,48,1,50,16.66666667,27.13546265,48,1,0,0,0,0,0,0,0,0,0,104,0,80000,0,0,6,2.4,3.286335345,10.8,0,0,0,0,1,0,0,0,0,3,3,0,104,0,0,0,0,0,0,4,12,0,0,2081,-1,2,20,0,0,0,0,0,0,0,0,1
4,0,12,0,6,0,3,3.464101615,0,0,0,0,4000000,1333333.333,1,0,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,0,104,0,1333333.333,0,0,6,2.4,3.286335345,10.8,0,0,0,0,1,0,0,0,0,3,3,0,104,0,0,0,0,0,0,4,12,0,0,2081,-1,2,20,0,0,0,0,0,0,0,0,1
2,2,496,2820,248,248,248,0,1410,1410,1410,0,4208121.827,5076.142132,262.6666667,450.6221625,783,2,3,3,0,3,3,2,2,0,2,2,0,0,0,0,64,64,2538.071066,2538.071066,248,1410,712.8,636.4536118,405073.2,0,0,0,0,0,0,0,0,1,891,248,1410,64,0,0,0,0,0,0,2,496,2,2820,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,158,32,32,32,0,79,79,79,0,847328.2443,15267.17557,87.33333333,149.5337197,260,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,64,64,7633.587786,7633.587786,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1194805.195,17316.01732,77,49.36598019,134,48,49,49,0,49,49,48,48,0,48,48,0,0,0,0,64,64,8658.008658,8658.008658,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1672727.273,24242.42424,55,89.20201791,158,3,4,4,0,4,4,3,3,0,3,3,0,0,0,0,64,64,12121.21212,12121.21212,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,64,158,32,32,32,0,79,79,79,0,778947.3684,14035.08772,95,115.8835623,227,10,10,10,0,10,10,48,48,0,48,48,0,0,0,0,64,64,7017.54386,7017.54386,32,79,50.8,25.7429602,662.7,0,0,0,0,0,0,0,0,1,63.5,32,79,64,0,0,0,0,0,0,2,64,2,158,-1,-1,1,32,0,0,0,0,0,0,0,0,1
2,2,88,188,44,44,44,0,94,94,94,0,1393939.394,20202.0202,66,108.2543302,191,3,3,3,0,3,3,4,4,0,4,4,0,0,0,0,64,64,10101.0101,10101.0101,44,94,64,27.38612788,750,0,0,0,0,0,0,0,0,1,80,44,94,64,0,0,0,0,0,0,2,88,2,188,-1,-1,1,32,0,0,0,0,0,0,0,0,1
